x,y,words
1.8788549,13.593713,specially
-3.5021937,29.342371,suffer
-3.522004,28.412052,allergy
-1.7428946,13.44838,wish
-4.2259345,0.54713136,story
18.601248,50.23842,feed
5.9049845,50.412277,blood
20.780617,47.88491,kill
5.4459715,50.271603,stain
-0.44949633,13.716024,come
-16.869226,-0.06715131,tour
-2.626084,16.339226,mean
10.001664,54.818436,lotion
9.92409,54.556976,body
-49.5052,20.602951,face
-6.5099316,24.10243,safe
-2.136292,11.379044,available
-18.23009,6.1454134,request
-12.999871,30.018085,horrible
-19.077063,24.79246,represent
-20.101627,19.91351,mention
-47.883102,-12.438489,muy
-52.06954,-35.39492,buena
-37.17807,-2.555925,ubicacion
-47.43201,-37.552097,comodo
-49.171196,-12.860469,el
-53.019405,2.5862913,cuarto
4.2226844,-33.620193,shunichi
-53.74513,-18.255009,vimos
-48.892975,-8.002984,solo
-49.38466,-0.690506,dia
-53.281033,-11.879514,que
-52.306293,-19.638119,fuimos
-39.77395,-19.92662,tiene
-48.290783,-12.546859,todo
-48.495533,-14.574122,sin
-57.327675,-5.674752,lujos
-49.108368,-11.609387,pero
-47.407616,-12.770105,por
-52.484646,-3.3659244,precio
-52.36258,-35.163788,excelente
-56.749012,37.520973,sejourne
-53.828476,34.514965,pendant
-45.83704,55.2651,deux
-43.321888,52.34192,semaines
-58.84873,29.559795,chez
-50.054993,41.894592,du
-49.914692,41.37051,au
-62.23288,28.848452,montre
-63.10875,26.033478,disponible
-53.139755,36.20366,notre
-46.95033,35.644905,arrivee
-43.523457,43.41345,puisqu
-43.347343,45.600555,ouvert
-62.572163,29.239698,immediatement
-41.4132,24.934622,heure
-47.778408,35.17066,tardive
-42.419617,36.22928,matin
-40.08979,22.37948,environ
-40.71961,27.046444,apres
-56.475517,48.670483,ne
-58.87221,36.38795,vu
-47.72096,56.43419,les
-50.646107,50.68687,tard
-42.38792,36.08644,soir
-49.62405,22.516525,fin
-35.780853,36.284245,eme
-40.00027,28.52261,semaine
-47.090485,41.432545,cependant
-64.50389,38.549072,propose
-33.698177,46.064415,draps
-32.992046,45.224842,linge
-33.632793,30.675552,propre
-55.003414,44.009853,noter
-49.991665,42.32528,qu
-48.05559,44.618446,aucune
-40.49658,57.847332,indication
-52.403427,39.14295,ete
-63.22798,38.40119,donne
-53.001724,34.747475,avant
-47.37974,35.2702,depart
-55.98223,39.751312,quitter
-46.71912,38.76155,plus
-21.16281,-18.707035,tot
-46.703194,49.725197,laisser
10.586715,16.953012,couple
-49.34091,44.866947,sans
-51.373386,41.163544,voir
17.997353,17.234262,catch
-4.7995415,48.102867,fire
-2.5590081,55.75739,possession
-10.166007,26.931206,ruin
1.0733476,55.58717,water
-13.031484,15.232717,damage
-2.5670626,14.961927,day
-12.307292,3.187849,plan
3.166429,29.887877,asleep
-2.241989,14.807769,hour
0.8588193,25.404247,wake
1.7067975,22.465582,morning
15.895707,10.569524,quiet
16.002277,22.841675,street
-2.3406966,34.478867,comfortable
8.481051,42.62953,metal
8.498619,42.83305,frame
1.5060719,34.741512,addition
9.907972,46.38535,table
11.088229,51.637085,cloth
6.2088194,59.427464,cup
-0.19545707,34.18706,small
10.331576,48.63861,mirror
0.12066633,42.090046,plant
9.70782,45.414234,stool
2.9867263,42.502766,dark
14.224954,46.96319,length
-6.129385,45.93256,replace
20.789278,18.74656,short
1.6251694,41.422012,light
-11.970145,-4.375236,communicative
-6.840138,11.445896,earlier
-10.01256,12.794638,initially
-19.418596,23.323689,indicate
14.976244,32.73316,luggage
13.664929,13.603913,city
-20.1275,2.6298256,follow
7.9350038,17.471212,crash
-22.210947,-42.969395,nostra
-22.59149,-43.437843,esperienza
-48.880165,40.838467,qui
-17.052458,-40.53823,delle
-25.967648,-42.808598,migliori
-15.043431,-43.167152,devo
-57.198856,47.311344,dire
-17.424475,-37.08231,quello
-16.009525,-36.262596,posto
-17.49052,-42.83495,dormire
-48.374775,-19.52081,era
-50.74364,25.399534,ideale
-53.62384,-12.236579,se
-9.272206,-44.735603,erano
-11.770149,-39.219448,massimo
-21.255957,-35.69914,posizione
-18.141453,-32.34012,della
-19.194645,-31.65209,passi
-19.250643,-32.778793,poche
-22.43334,-38.65688,prezzo
-24.096004,-37.66408,sicuramente
-18.98517,-41.011112,rispetto
-17.399187,-37.084953,cio
-12.168335,-37.450935,trovare
-37.999,25.709581,carte
-23.239208,-38.173542,questo
-21.666063,-50.337524,appartamento
-17.703827,-45.81325,quanto
-17.646051,-45.395363,riguarda
-20.435081,-43.10757,pulizia
-20.84427,-43.764236,stanza
-41.18905,-7.0737276,parte
-17.784716,-32.176476,alla
-11.360428,-40.6783,caldo
-17.80436,-40.39721,perche
-18.218418,-41.544205,nonostante
-24.416582,-36.333286,fosse
-10.960845,-40.1494,condizionatore
-11.499764,-41.60719,microonde
-59.74966,-18.387775,sinceramente
-17.587711,-40.274647,quindi
15.544837,-65.016136,li
-13.269167,-46.970398,ho
-14.611682,-46.38799,nemmeno
-14.369222,-41.516727,sporco
-20.312847,-44.14662,vasca
-11.764619,-43.467716,aveva
-54.66022,46.940052,ai
-15.878238,-40.504128,terra
-15.994011,-42.46624,purtroppo
-51.510498,-19.923487,durante
-13.198299,-46.001537,notti
-13.160556,-45.887707,trascorso
-11.902728,-48.529648,piani
-14.2159,-39.755894,sopra
-48.606728,-22.758371,ha
-11.311889,-37.56268,acqua
-23.587383,-41.253277,notte
-20.142242,-40.928223,questa
-9.790249,-45.595238,oltre
-11.170486,-44.888527,aver
-12.994805,-44.895588,passato
-20.426264,-36.97295,tutta
-12.131157,-44.67748,dovuto
-20.194258,-47.312267,dell
-13.436142,-43.645462,sul
-24.401413,-37.13203,dovessi
-15.422332,-39.58684,piuttosto
-49.23587,-13.067592,al
-26.303814,-46.758953,padrone
-19.922256,-40.657284,nella
-10.698393,-42.984898,dato
-17.028913,-42.11898,peccato
-2.0984912,18.24649,expect
0.06455363,19.106676,pretty
-0.50167286,35.72138,large
0.035786543,16.318375,need
-5.0012274,10.826642,forget
4.7099953,1.9668998,outstanding
-3.7512686,13.229325,able
21.046394,-2.5486155,broadway
2.2662086,15.972507,important
21.291069,14.2521105,sight
33.182056,-1.2124479,ave
21.946356,-7.4876013,empire
35.96564,10.702281,fuss
33.95652,26.810394,gegenuber
44.562572,0.8854329,interessant
62.960682,17.914303,selbst
58.593975,30.455027,boden
55.44419,31.622566,waschbecken
61.57549,-7.3047934,stets
63.76931,27.976526,stark
58.0504,38.940727,zustand
66.4837,27.198708,schlecht
55.501026,31.838898,dusche
52.629074,27.686138,gastezimmer
62.50103,28.628424,wande
59.116245,33.11548,sauberkeit
49.348724,34.093975,kuhlschrank
35.02734,22.941172,laden
57.436356,32.821175,mobel
58.736942,10.188772,ihre
44.223766,-5.634497,besten
55.7983,-5.2799106,zeiten
58.481552,18.582525,hinter
67.05151,21.729984,wahrscheinlich
62.1942,31.426846,gewaschen
53.074406,22.567492,voller
58.720142,31.176966,flecken
69.49193,8.14061,neue
47.680504,35.7151,bettwasche
48.150566,32.579075,gekauft
49.35776,25.667973,fazit
72.48298,15.803092,egal
59.189796,30.690727,schimmel
82.01537,8.879655,sollte
74.589325,21.1455,sein
54.12333,35.30324,eigenes
62.64269,24.965162,mitbringen
47.120926,-3.902653,tolle
78.21833,19.433004,geniessen
68.50963,30.363422,scheint
52.51981,-8.0960455,typ
80.15039,12.490294,obwohl
65.6732,7.755786,ihn
66.08802,7.5584474,personlich
66.32062,6.7108183,angetroffen
64.19448,12.433841,er
65.283325,14.699762,ab
65.92572,8.328591,anwesend
57.131783,-2.797883,kontakt
43.975777,23.557928,gasten
58.049488,-7.920823,interessiert
58.77833,10.170922,seine
53.319862,1.0497165,katze
71.456894,21.958303,jedenfalls
65.53061,19.221106,viel
51.490063,-8.906586,freundlicher
61.41056,17.53765,wirklich
62.813763,37.631145,einladend
58.49634,18.6209,unter
70.434715,25.737106,anderes
52.77002,28.358093,zimmer
54.943306,10.642769,besser
57.433468,29.40655,decke
20.96713,-62.286766,wo
65.495476,22.045715,leider
62.161343,31.44903,frisch
78.93443,1.9428071,hoffen
61.34534,24.602516,zumindest
68.03627,14.4798155,lange
58.80953,31.08512,haare
57.310295,-8.706154,freundlich
59.94277,32.202545,decken
66.8353,15.51182,dann
72.350685,32.842052,ausgetauscht
